district,province,area,density,loc_income_capita,population,loc_type_enc,distrct_vs_province
a lưới,thừa thiên huế,1225.2,40,3212,49418,1,0.0372394657857039
huế,thừa thiên huế,266.0,2453,3212,652572,4,0.49175265422939746
hương thủy,thừa thiên huế,427.0,223,3212,95299,2,0.07181358715269326
hương trà,thừa thiên huế,392.3,185,3212,72677,2,0.054766535572212595
nam đông,thừa thiên huế,647.8,38,3212,24300,1,0.018311526540786854
phong điền,thừa thiên huế,948.2,93,3212,87781,1,0.06614831733649428
phú lộc,thừa thiên huế,720.4,180,3212,129846,1,0.0978468508318934
phú vang,thừa thiên huế,235.4,646,3212,137962,1,0.10396274998436361
quảng điền,thừa thiên huế,163.1,473,3212,77178,1,0.05815831256645464
an biên,kiên giang,400.3,288,4412,115218,1,0.06438198480107286
an minh,kiên giang,590.5,196,4412,115720,1,0.06466249441215914
châu thành,kiên giang,285.4,559,4412,159607,1,0.08918585158694681
giang thành,kiên giang,412.8,71,4412,29215,1,0.016324877067501117
giồng riềng,kiên giang,639.4,351,4412,224655,1,0.1255336388019669
gò quao,kiên giang,439.5,301,4412,132508,1,0.07404336164506035
hà tiên,kiên giang,100.5,812,4412,81576,4,0.04558337058560572
hòn đất,kiên giang,1039.6,150,4412,156273,1,0.08732286544479213
kiên hải,kiên giang,24.6,715,4412,17588,0,0.009827894501564596
kiên lương,kiên giang,473.3,168,4412,79484,1,0.04441439427805096
phú quốc,kiên giang,589.3,305,4412,179480,4,0.1002905677246312
rạch giá,kiên giang,103.6,2196,4412,227527,4,0.12713846669646847
tân hiệp,kiên giang,422.9,297,4412,125459,1,0.07010449262405007
u minh thượng,kiên giang,432.7,147,4412,63415,1,0.03543529280286097
vĩnh thuận,kiên giang,394.4,208,4412,81875,1,0.045750447027268666
an dương,hải phòng,104.2,1878,5199,195717,3,0.09648294268612394
an lão,hải phòng,117.7,1246,5199,146712,3,0.07232486440813324
bạch long vỹ,hải phòng,3.1,201,5199,624,0,0.00030761434232152204
cát hải,hải phòng,325.6,99,5199,32090,0,0.015819461931246222
đồ sơn,hải phòng,45.9,1068,5199,49029,5,0.024169909598849206
dương kinh,hải phòng,46.8,1289,5199,60319,5,0.029735560119378026
hải an,hải phòng,103.7,1282,5199,132943,5,0.06553713703725979
hồng bàng,hải phòng,14.5,6628,5199,96111,5,0.04738000329305097
kiến an,hải phòng,29.6,3988,5199,118047,5,0.05819383055773832
kiến thụy,hải phòng,108.9,1289,5199,140417,3,0.06922160754128391
lê chân,hải phòng,11.9,18467,5199,219762,5,0.10833644727125373
ngô quyền,hải phòng,11.3,14629,5199,165309,5,0.08149265915837899
thủy nguyên,hải phòng,261.9,1275,5199,333810,3,0.16455888399094115
tiên lãng,hải phòng,193.4,800,5199,154789,3,0.07630659684872769
vĩnh bảo,hải phòng,183.3,997,5199,182835,3,0.09013248121531328
an khê,gia lai,200.1,329,2314,65918,2,0.043543369970677356
ayun pa,gia lai,287.2,139,2314,39936,2,0.026380473059694935
chư păh,gia lai,974.6,79,2314,77299,1,0.05106130276045069
chư prông,gia lai,1693.9,73,2314,123555,1,0.08161657023464063
chư pưh,gia lai,718.9,108,2314,77511,1,0.051201343332582486
chư sê,gia lai,641.0,190,2314,121965,1,0.08056626594365217
đak đoa,gia lai,985.3,125,2314,123282,1,0.08143623496958412
đak pơ,gia lai,502.5,80,2314,40442,1,0.026714720840349124
đức cơ,gia lai,721.9,105,2314,75718,1,0.05001694358809047
ia grai,gia lai,1119.6,94,2314,105664,1,0.06979833497044285
ia pa,gia lai,868.6,65,2314,56596,1,0.037385548209297244
