province,province_code,district,district_code,ward,ward_code,lat,long
quảng ninh,1000,hạ long,1100,hồng gai,1105,20.95105955,107.0720135
quảng ninh,1000,hạ long,1100,hòn gai,1106,20.95105955,107.0720135
quảng ninh,1000,hạ long,1100,trần hưng đạo,1107,20.95563355,107.0837241
quảng ninh,1000,hạ long,1100,bạch đằng,1108,20.95062865,107.08828925
quảng ninh,1000,hạ long,1100,cao thắng,1109,20.9679664,107.09622595
quảng ninh,1000,hạ long,1100,hồng hải,1110,20.9490279,107.1070378
quảng ninh,1000,hạ long,1100,hà lầm,1111,20.97283945,107.11418325
quảng ninh,1000,hạ long,1100,hà trung,1112,20.9688971,107.12356565
quảng ninh,1000,hạ long,1100,hồng hà,1113,20.94294335,107.1238446
quảng ninh,1000,hạ long,1100,hà tu,1114,20.9560858,107.1483868
quảng ninh,1000,hạ long,1100,hà phong,1115,20.96144475,107.16979615
quảng ninh,1000,hạ long,1100,hà khánh,1116,21.0007294,107.13225595
quảng ninh,1000,hạ long,1100,cao xanh,1117,20.97648345,107.0770052
quảng ninh,1000,hạ long,1100,yết kiêu,1118,20.96081335,107.07548445
quảng ninh,1000,hạ long,1100,bãi cháy,1119,20.9660465,107.03666205
quảng ninh,1000,hạ long,1100,hùng thắng,1120,20.95962055,107.00082775
quảng ninh,1000,hạ long,1100,giếng đáy,1121,20.9818762,107.0194745
quảng ninh,1000,hạ long,1100,hà khẩu,1122,20.9725376,106.9816874
quảng ninh,1000,hạ long,1100,việt hưng,1123,20.9956563,106.9732975
quảng ninh,1000,hạ long,1100,đại yên,1124,20.96896615,106.9259404
quảng ninh,1000,hạ long,1100,tuần châu,1125,20.9281396,106.9854041
quảng ninh,1000,cẩm phả,1200,cẩm trung,1206,21.0091009,107.2715485
quảng ninh,1000,cẩm phả,1200,cẩm thành,1207,21.01021275,107.278769
quảng ninh,1000,cẩm phả,1200,cẩm tây,1208,21.02564545,107.2845839
quảng ninh,1000,cẩm phả,1200,cẩm bình,1209,21.00365255,107.2854529
quảng ninh,1000,cẩm phả,1200,cẩm đông,1210,21.0164494,107.30062905
quảng ninh,1000,cẩm phả,1200,cẩm sơn,1211,21.01599335,107.31167435
quảng ninh,1000,cẩm phả,1200,cẩm phú,1212,21.00124255,107.33206975
quảng ninh,1000,cẩm phả,1200,cẩm thịnh,1213,20.99497545,107.3526692
quảng ninh,1000,cẩm phả,1200,cửa ông,1214,21.03018945,107.35814085
quảng ninh,1000,cẩm phả,1200,cẩm hải,1215,21.1055984,107.346146
quảng ninh,1000,cẩm phả,1200,cộng hòa,1216,21.15772355,107.363018
quảng ninh,1000,cẩm phả,1200,mông dương,1217,21.11280855,107.3024154
quảng ninh,1000,cẩm phả,1200,dương huy,1218,21.05834495,107.2401451
quảng ninh,1000,cẩm phả,1200,quang hanh,1219,20.9868974,107.21076955
quảng ninh,1000,cẩm phả,1200,cẩm thạch,1220,21.00425245,107.25192535
quảng ninh,1000,cẩm phả,1200,cẩm thủy,1221,21.00995695,107.26499315
quảng ninh,1000,vân đồn,1300,cái rồng,1306,21.0580078,107.4363219
quảng ninh,1000,vân đồn,1300,vạn yên,1307,21.1499815,107.63359395
quảng ninh,1000,vân đồn,1300,đài xuyên,1308,21.20948295,107.4884318
quảng ninh,1000,vân đồn,1300,bình dân,1309,21.16590545,107.435583
quảng ninh,1000,vân đồn,1300,đoàn kết,1310,21.09674825,107.41135585
quảng ninh,1000,vân đồn,1300,đông xá,1311,20.99417865,107.4029446
quảng ninh,1000,vân đồn,1300,thắng lợi,1312,20.91953345,107.329777
quảng ninh,1000,vân đồn,1300,ngọc vừng,1313,20.7656705,107.34148975
quảng ninh,1000,vân đồn,1300,quan lạn,1314,20.84629035,107.48574965
quảng ninh,1000,vân đồn,1300,bản sen,1315,20.973723,107.4641
quảng ninh,1000,vân đồn,1300,minh châu,1316,21.027351,107.60630595
quảng ninh,1000,vân đồn,1300,hạ long,1317,21.06385305,107.47851845
quảng ninh,1000,cô tô,1400,cô tô,1406,20.94652255,107.70133485
quảng ninh,1000,cô tô,1400,thanh lân,1407,21.11766695,107.895584
quảng ninh,1000,cô tô,1400,đồng tiến,1408,21.06853595,107.76283265
quảng ninh,1000,móng cái,1500,hòa lạc,1506,21.5249215,107.9684936
quảng ninh,1000,móng cái,1500,hải hòa,1507,21.51967345,108.02080185
quảng ninh,1000,móng cái,1500,trần phú,1508,21.53373405,107.9717445
quảng ninh,1000,móng cái,1500,ka long,1509,21.52873895,107.9600313
quảng ninh,1000,móng cái,1500,ninh dương,1510,21.510696,107.94668455
quảng ninh,1000,móng cái,1500,hải yên,1511,21.5209402,107.9185617
quảng ninh,1000,móng cái,1500,bắc sơn,1512,21.6045465,107.875618
quảng ninh,1000,móng cái,1500,hải sơn,1513,21.6058779,107.7869511
quảng ninh,1000,móng cái,1500,quảng nghĩa,1514,21.52666325,107.794547
quảng ninh,1000,móng cái,1500,hải tiến,1515,21.5393179,107.8566456
quảng ninh,1000,móng cái,1500,hải đông,1516,21.50709695,107.86627755
quảng ninh,1000,móng cái,1500,vạn ninh,1517,21.44913755,107.9183144
quảng ninh,1000,móng cái,1500,vĩnh trung,1518,21.3264429,107.87406905
quảng ninh,1000,móng cái,1500,vĩnh thực,1519,21.32417825,107.9712724
quảng ninh,1000,móng cái,1500,bình ngọc,1520,21.4456769,107.99031245
quảng ninh,1000,móng cái,1500,trà cổ,1521,21.4796441,108.05903425
quảng ninh,1000,móng cái,1500,hải xuân,1522,21.4911951,107.98853555
quảng ninh,1000,hải hà,1600,quảng hà,1606,21.4507119,107.75376675
quảng ninh,1000,hải hà,1600,quảng minh,1607,21.45181155,107.787235
quảng ninh,1000,hải hà,1600,quảng thắng,1608,21.4870153,107.7731324
quảng ninh,1000,hải hà,1600,quảng thành,1609,21.503496,107.7379885
quảng ninh,1000,hải hà,1600,quảng đức,1610,21.56761095,107.6927615
quảng ninh,1000,hải hà,1600,quảng sơn,1611,21.52404465,107.61151305
quảng ninh,1000,hải hà,1600,đường hoa,1612,21.41071295,107.64567375
quảng ninh,1000,hải hà,1600,quảng phong,1613,21.39061445,107.7201534
quảng ninh,1000,hải hà,1600,quảng long,1614,21.45404645,107.69956105
quảng ninh,1000,hải hà,1600,quảng thịnh,1615,21.47395675,107.7261401
quảng ninh,1000,hải hà,1600,quảng chính,1616,21.4580715,107.731898
quảng ninh,1000,hải hà,1600,quảng trung,1617,21.4388905,107.7468355
quảng ninh,1000,hải hà,1600,phú hải,1618,21.4236875,107.78477905
quảng ninh,1000,hải hà,1600,quảng điền,1619,21.4273038,107.7370405
quảng ninh,1000,hải hà,1600,tiến tới,1620,21.4056692,107.66792525
quảng ninh,1000,hải hà,1600,cái chiên,1621,21.30677895,107.749958
quảng ninh,1000,bình liêu,1700,bình liêu,1706,21.5252559,107.39753185
quảng ninh,1000,bình liêu,1700,húc động,1707,21.481935,107.4805595
quảng ninh,1000,bình liêu,1700,đồng văn,1708,21.567353,107.5742655
quảng ninh,1000,bình liêu,1700,hoành mô,1709,21.58610445,107.48843105
quảng ninh,1000,bình liêu,1700,đồng tâm,1710,21.585257,107.4375375
quảng ninh,1000,bình liêu,1700,lục hồn,1711,21.54759595,107.4346841
quảng ninh,1000,bình liêu,1700,tình húc,1712,21.53205745,107.3995999
quảng ninh,1000,bình liêu,1700,vô ngại,1713,21.5181535,107.34722
quảng ninh,1000,đầm hà,1800,quảng tân,1807,21.365454,107.5869194
quảng ninh,1000,đầm hà,1800,quảng lợi,1808,21.38163475,107.57700925
quảng ninh,1000,đầm hà,1800,tân bình,1809,21.36065995,107.642543
quảng ninh,1000,đầm hà,1800,quảng lâm,1810,21.4442906,107.5618171
quảng ninh,1000,đầm hà,1800,quảng an,1811,21.41362855,107.519801
quảng ninh,1000,đầm hà,1800,dực yên,1812,21.35621505,107.54081
quảng ninh,1000,đầm hà,1800,đại bình,1813,21.2829801,107.5464534
quảng ninh,1000,đầm hà,1800,tân lập,1814,21.28573395,107.5872485
quảng ninh,1000,đầm hà,1800,đầm hà,1815,21.42872145,107.6899501
quảng ninh,1000,tiên yên,1900,tiên yên,1906,21.33118365,107.3920762
quảng ninh,1000,tiên yên,1900,tiên lãng,1907,21.3144,107.43404655
quảng ninh,1000,tiên yên,1900,đông hải,1908,21.3328889,107.52200705
quảng ninh,1000,tiên yên,1900,đông ngũ,1909,21.34453445,107.45828385
quảng ninh,1000,tiên yên,1900,đại dực,1910,21.4182749,107.447827
quảng ninh,1000,tiên yên,1900,đại thành,1911,21.44910095,107.41111645
quảng ninh,1000,tiên yên,1900,phong dụ,1912,21.41076105,107.37930005
quảng ninh,1000,tiên yên,1900,hà lâu,1913,21.47806505,107.2737539
quảng ninh,1000,tiên yên,1900,điền xá,1914,21.36201655,107.29803555
quảng ninh,1000,tiên yên,1900,yên than,1915,21.35500205,107.36353805
quảng ninh,1000,tiên yên,1900,hải lạng,1916,21.2829631,107.381444
quảng ninh,1000,tiên yên,1900,đồng rui,1917,21.222256,107.4067211
quảng ninh,1000,ba chẽ,2000,ba chẽ,2006,21.2679791,107.2909784
quảng ninh,1000,ba chẽ,2000,nam sơn,2007,21.25064695,107.3041895
