Unnamed: 0,Giới tính,Hình thức làm việc,Kinh nghiệm,Mức lương,Ngành nghề,Số lượng tuyển dụng,Thời gian thử việc,Trình độ,Tính chất công việc,Tỉnh/Thành phố,benefits,description,job_title,link,requirements
,Không yêu cầu,Nhân viên chính thức,Chưa có kinh nghiệm,5 - 7 triệu,Bán hàngLao động phổ thôngSinh viên/Mới tốt nghiệp/Thực tập,20,Chưa cập nhật,Trung học,Việc làm theo ca/Đổi ca,TP.HCMBà Rịa - Vũng TàuBình DươngLâm Đồng,"- Thu nhập chính thức: 6.000.000 – 9.000.000/ tháng (toàn thời gian) và 23.000-24.000/h (bán thời gian)
- Sau khi kết thúc thời gian học việc SẼ được đóng bảo hiểm theo đúng quy định của Nhà nước.
- Chế độ phúc lợi tốt, được thưởng lễ tết.
- Được đào tạo nâng cao nghiệp vụ trong quá trình làm việc.
- Được làm việc trong môi trường chuyên nghiệp, năng động và hiệu quả.","- Sắp xếp, trưng bày và đảm bảo quầy kệ sạch sẽ, gọn gàng, đầy đủ hàng hóa theo quy định của Công ty.
- Bảo quản, rà soát hạn sử dụng hàng hóa, quản lý hàng tồn để chắc chắn luôn có đủ hàng hóa trong cửa hàng.
- Tham gia các chương trình truyền thông, thu hút khách hàng đến cửa hàng.
- Thực hiện bán hàng, thanh toán và chăm sóc khách hàng.
- Thực hiện kiểm kê định kỳ / đột xuất tại cửa hàng.",,,"- Nam/Nữ từ đủ 18 - 50 tuổi
- Có phương tiện đi lại để thuận lợi cho công việc
- Thời gian làm việc:
+ Fulltime: Có khả năng làm việc xoay ca: Ca sáng(6:00 - 14:30), Ca chiều (14:30 - 22:00), (30 phút nghỉ ăn ca) nghỉ 1 ngày/tuần
+ Parttime: Cố định ca/xoay ca: tối thiểu 4 tiếng/ngày"
,Không yêu cầu,Nhân viên chính thức,Dưới 1 năm,6 - 16 triệu,Chăm sóc khách hàngLuật/Pháp lýLao động phổ thông,40,2 tháng,Trung học,Giờ hành chính,TP.HCM,"▪ Thu nhập cạnh tranh: lương + các khoản phụ cấp + thưởng KPI (từ 06 triệu đến 16 triệu)
▪ 100% lương trong thời gian 02 tháng thử việc + thưởng KPI nếu có
▪ 52 ngày nghỉ phép hưởng lương (12 ngày nghỉ phép hàng năm và 40 ngày nghỉ phép ốm)
▪ Lương tháng thứ 13
▪ Thưởng Tết và các dịp lễ lớn trong năm
▪ Bảo hiểm sức khỏe cá nhân 24/7 sau 02 tháng thử việc
▪ Giữ xe miễn phí
▪ Tham gia đầy đủ các quyền lợi về bảo hiểm xã hội sau 02 tháng thử việc
▪ Tăng lương xét theo thâm niên làm việc
▪ Team building hàng năm
▪ Môi trường làm việc chuyên nghiệp, năng động, lộ trình đào tạo và thăng tiến rõ ràng","▪ Hướng dẫn, thuyết phục khách hàng thực hiện nghĩa vụ thanh toán các khoản vay tồn đọng theo quy định cũng như nêu rõ hậu quả của việc chậm trễ thanh toán.
▪ Báo cáo tình trạng liên hệ khách hàng và kết quả thu hồi nợ mỗi cuối ngày.
▪ Hỗ trợ, giải đáp những thắc mắc của khách hàng.
▪ Tìm kiếm thông tin khách hàng trốn tránh và thuyết phục khách hàng đóng tiền
▪ Phân tích cho khách hàng những trường hợp xấu có thể xảy ra với khách hàng nếu khách hàng trễ hẹn và trốn tránh.
▪ Lắng nghe chia sẻ và tìm hướng giúp khách hàng đóng tiền.
▪ Thực hiện các công việc khác theo yêu cầu của cấp trên;",,,"▪ Bằng cấp: tốt nghiệp trung học phổ thông trở lên (ưu tiên tốt nghiệp ngành Tài chính - Ngân hàng)
▪ Nam/Nữ, tuổi từ 18 trở lên
▪ Ưu tiên ứng viên đã có kinh nghiệm thu hồi nợ ở các tổ chức tài chính – ngân hàng.
▪ Thời gian làm việc: 05 ngày / tuần, từ 8g sáng – 5g chiều (nghỉ 2 ngày không cố định)
▪ Kỹ năng giải quyết vấn đề, thuyết phục tốt.
▪ Kỹ năng sử dụng vi tính văn phòng, email trong công việc.
▪ Năng động, chịu khó, có kỹ năng giao tiếp tốt qua điện thoại."
,Nam,Nhân viên chính thức,Không yêu cầu kinh nghiệm,14 - 16 triệu,Tài xế/Lái xe/Giao nhậnLao động phổ thôngKho vận/Vật tư/Thu mua,20,Nhận việc ngay,Không yêu cầu,Việc làm thu nhập cao,Đồng Nai,"- Thu nhập từ: 14.000.000đ - 16.000.000đ/tháng.
- Được tham gia BHYT, BHXH...
- Được thưởng lương theo kết quả kinh doanh cuối năm, thưởng thêm nếu hoàn thành tốt công việc được giao.
- Được nghỉ các ngày chủ nhật và Lễ Tết theo quy định.
- Làm việc trong môi trường thân thiện, năng động","- Tiếp nhận và giao hàng hóa cho khách hàng theo sự phân công
- Chịu trách nhiệm về hàng hóa trong quá trình giao nhận
- Thực hiện các thủ tục đảm bảo chứng từ giao nhận theo quy định Công ty

* Thời gian làm việc: từ thứ 2 đến thứ 7, 7h sáng đến 17h chiều",,,"- Giới tính nam, tuổi từ 18-60
- Có xe máy"
,Không yêu cầu,Nhân viên chính thức,Không yêu cầu kinh nghiệm,10 - 20 triệu,Kinh doanhNgân hàng/Chứng khoán/Đầu tưLao động phổ thông,8,Nhận việc ngay,Không yêu cầu,Giờ hành chính,TP.HCM,"- Mức lương: 5.460.000đ + hoa hồng + Thưởng của Hoa Hồng => Thu nhập = Lương cơ bản + Phụ cấp + Bonus + Thưởng quý + Thưởng Contest.( tổng thu nhập dao động từ 8-20tr)
- Chế độ khen thưởng cao theo tháng/ quý / năm
- Thưởng tháng 13 + Thưởng KPI theo kết quả kinh doanh
- Cơ hội huấn luyện : Tập trung vào sự phát triển của từng cá nhân với các khóa đào tạo kỹ năng trong suốt quá trình làm việc
- Được làm việc trong môi trường tài chính, ngân hàng
- Chế độ phúc lợi đầy đủ và có lộ trình thăng tiến rõ ràng - Có nhiều cơ hội lên thăng tiến vị trí cấp cao
- Môi trường làm việc năng động, thân thiện
- Được hưởng đầy đủ các chế độ của ngân hàng khi trở thành nhân viên chính thức, như: BHXH, BHYT, BHTN, Team building; Thưởng cuối năm; Thưởng các dịp Lễ/Tết; Khám sức khỏe hàng năm,","- Tư vấn về các sản phẩm vay tín chấp cá nhân của ngân hàng
- Giải đáp thắc mắc, giải quyết những khó khăn của khách hàng
- Kết hợp với Trưởng nhóm và đội thu hồ sơ chăm sóc khách hàng
- Hoàn thành chỉ tiêu công việc đúng tiến độ theo yêu cầu của trưởng nhóm
- Các công việc khác theo yêu cầu của trưởng nhóm",,,"- Giọng nói rõ ràng
- Nam/nữ trên 18 tuổi tốt nghiệp trung học phổ thông trở lên
- Tinh thần trách nhiệm cao trong công việc, năng động, chịu khó
- Ưu tiên ứng viên am hiểu thị trường, có kinh nghiệm về tài chính ngân hàng, Sale ngành hàng, các công ty tài chính như: KGK, Thiên Tú, Pru, HD, FE…
- Không có kịnh nghiệm sẽ được đào tạo"
,Không yêu cầu,Nhân viên chính thức,Không yêu cầu kinh nghiệm,10 - 12 triệu,Bán hàngChăm sóc khách hàngLao động phổ thông,25,2 tháng,Trung học,Giờ hành chính,TP.HCM,"- Thu nhập 10-18tr/tháng (lương cứng 6-8tr + hoa hồng + thưởng + phụ cấp)
- Môi trường làm việc chuyên nghiệp, thân thiện, hòa đồng.
- Được hỗ trợ phương tiện làm việc, thiết bị văn phòng,…
- Du lịch, teambuilding, sinh nhật,…
- Được tặng chuyến nghỉ dưỡng dành cho gia đình nhân viên có thành tích xuất sắc.
- Được hưởng các chế độ, quyền lợi : BHXH, cơ hội thăng tiến, nghỉ lễ, thai sản, thưởng Tết,...
- Tăng lương theo thâm niên 6 tháng - 1 năm/lần.","- Liên hệ với khách hàng theo nguồn Data có sẵn của công ty để gửi tặng Thẻ du lịch thông minh.
- Giới thiệu các ưu đãi và giải đáp thắc mắc của khách hàng về Thẻ.
- Đặt lịch hẹn cho khách hàng đến tham dự chương trình sự kiện du lịch do Công ty tổ chức và nhận Thẻ.
- Không tự tìm kiếm nguồn khách hàng, không bán hàng qua điện thoại.
- Làm việc tại văn phòng Call center của Công ty, không đi thị trường.

THỜI GIAN LÀM VIỆC:
09h00 - 18h00 (Nghỉ trưa 1:30 phút). Làm việc từ Thứ 2 đến Thứ 7.",,,"- Không yêu cầu kinh nghiệm hay bằng cấp, sẽ được đào tạo.
- Có kinh nghiệm telesales/ cskh/ telemarketing là 1 lợi thế.
- Có kĩ năng giao tiếp, tương tác qua điện thoại.
- Giọng nói chuẩn, không giọng địa phương."
,Không yêu cầu,Nhân viên chính thức,Dưới 1 năm,10 - 12 triệu,Chăm sóc khách hàngBán hàngLao động phổ thông,10,1 tháng,Trung cấp,Việc làm thu nhập cao,TP.HCM,"Hệ số (I) – Mức Thử việc

- Lương cứng: 6,800,000 đ

- Phụ cấp ca đêm: 1,200,000 đ

- Phụ cấp pre-sale: 600,000đ

- Phụ cấp ăn uống: 400,000 đ

- Hoa hồng 4%

- Vượt chỉ tiêu: +2% hoa hồng



Hệ số (II) – Mức Chính thức

- Lương cứng: 7,800,000 đ

- Phụ cấp ca đêm: 1,200,000 đ

- Phụ cấp pre-sale: 600,000đ

- Phụ cấp ăn uống: 400,000 đ

- Hoa hồng 4.2%

- Vượt chỉ tiêu: +2.8% hoa hồng

Thử việc: 1 tháng.

Các chế độ BHXH, thưởng tháng 13, thưởng doanh thu theo quy định luật lao động.","- Làm việc từ xa , để tư vấn hỗ trợ bằng Tiếng Việt cho khách hàng là người Việt Nam tại các cơ sở Goldmark oakham ở Pháp, Mỹ, Canada và Anh.

- Tìm hiểu, nghiên cứu về các sản phẩm của Goldmark Oakham để giới thiệu, tư vấn và giải đáp thắc mắc cho khách hàng.

- Đàm phán, thương lượng với khách hàng về giá cả, tiến trình trả thưởng, thanh toán và hóa đơn.

- Chăm sóc khách hàng sau khi bán hàng, duy trì mối quan hệ với khách hàng hiện tại

- Tìm kiếm nguồn khách hàng mới có nhu cầu, xây dựng data, mở rộng phát triển quan hệ

- Thực hiện các công việc theo sự phân công của cấp trên

Địa điểm làm việc:

Trụ sở: Tòa nhà TSA Landing Bạch Đằng, P2, Q. Tân Bình.

Chi nhánh: Phú Định, P16, Q.8",,,"- Tốt nghiệp: Trung cấp trở lên

- Giới tính: Nam/Nữ

- Độ tuổi: Dưới 30 tuổi

- Thành thạo tin học văn phòng

- Năng động, nhiệt tình trong công việc.

- Giọng nói tốt, không yêu cầu tiếng anh.

- Có kinh nghiệm sale, telesales từ 6 tháng trở lên.

=> Thời gian làm việc: 22h00-6h00 từ T2-T6 (Nghỉ T7-CN)"
,Không yêu cầu,Nhân viên chính thức,Không yêu cầu kinh nghiệm,10 - 15 triệu,Kinh doanhBất động sảnLao động phổ thông,10,Nhận việc ngay,Trung cấp,Việc làm thu nhập cao,TP.HCM,"- Mức lương: 8.500.000 -12.500.000 vnđ/ tháng + Hoa hồng
- Được ký hợp đồng chính thức sau 2 tháng thử việc (Mức lương thử việc 100% lương chính thức);
- Hoa hồng lên đến 100 triệu/sp
- Cơ hội thăng tiến lên vị trí quản lý: Trưởng phòng kinh doanh, Giám đốc sàn…
- Được tham gia BHXH – BHYT – BHTN theo quy định của Nhà nước
- Thưởng hiện kim + hiện vật dành cho NVKD xuất sắc tuần/tháng/năm
- Các hoạt động tập thể: Teambuilding, Outing, Bóng đá, Tennis, Cầu lông hàng tuần
- Thưởng vào các dịp Lễ 2/9, 30/4…, Tết
- Được ưu tiên mua sản phẩm do công ty phân phối với mức giá cực kỳ ưu đãi
- Nguồn sản phẩm dồi dào, dễ bán
- Hoa hồng về nhanh chóng
- Môi trường làm việc năng động
- Được đào tạo cầm tay chỉ việc
- Lộ trình thăng tiến rõ ràng liên tục","TERALAND Đang TÌM KIẾM CỘNG SỰ Chuyên viên Kinh Doanh BDS Thu Nhập KHÔNG GIỚI HẠN
- Tìm kiếm khách hàng tiềm năng;
- Cung cấp thông tin sản phẩm, giá cả, khuyến mãi (nếu có);
- Chăm sóc khách hàng tiềm năng và cả khách hàng hiện có;
- Chủ động mở rộng nguồn khách hàng, tìm kiếm khách hàng và biến họ thành khách hàng tiềm năng;
- Khảo sát thị trường, thu thập thông tin, dữ liệu phục vụ công tác tư vấn cũng như hỗ trợ Công ty có định hướng tốt trong công tác quảng bá sản phẩm;
- Hướng dẫn khách hàng tham quan nhà mẫu, công trình. Chuẩn bị kỹ, đầy đủ các tài liệu bán hàng;
- Đăng thông tin bất động sản trên các trang mạng xã hội, trên các group giao dịch bất động sản, các trang web … để tiếp cận với nhiều khách hàng mục tiêu.
- Hỗ trợ khách hàng hoàn thành thủ tục mua bán: ký phiếu thỏa thuận/ hợp đồng, thúc đẩy khách hàng đóng tiền.
- Thời gian làm việc: Từ thứ 2 đến sáng thứ 7 (Chiều thứ 7 và Chủ nhật nghỉ)
Buổi sáng: 08h00 đến 12h00
Buổi chiều: 13h00 đến 17h00",,,"- Tốt nghiệp Trung cấp, Cao Đẳng, Đại học...
- Siêng năng, trung thực, chịu khó
- Trung thực và bảo mật
- Ứng viên đã có kinh nghiệm trong lĩnh vực bán hàng, tư vấn, telesale, chăm sóc khách hàng là một lợi thế.
- Xử lý công việc nhanh, cẩn thận, chính xác.
- Giao tiếp tốt."
,Không yêu cầu,Nhân viên chính thức,1 năm,7 - 10 triệu,Bảo vệ/Vệ sĩ/An ninhGiáo dục/Đào tạo/Thư việnLao động phổ thông,10,1 tháng,Trung học,Việc làm theo ca/Đổi ca,TP.HCM,"- Mức lương hấp dẫn tương xứng với năng lực.
- Chế độ đãi ngộ, phúc lợi tốt: Vas thanh toán tất cả các khoản bảo hiểm bắt buộc, thuế thu nhập cá nhân, cơm trưa, đồng phục, tham quan du lịch, bảo hiểm tai nạn,…
- Môi trường giảng dạy quốc tế với các chương trình tập huấn chuyên môn từ các chuyên gia trong và ngoài nước.","- Đảm bảo công tác bảo vệ, giữ gìn, bảo quản tài sản, an ninh, trật tự tại nơi làm việc theo qui định
- Ngăn ngừa người không phận sự xâm nhập vào khu vực làm việc
- Đảm bảo an toàn cho học sinh vào mọi thời điểm
- Thực hiện công tác PCCC, sẵn sàng ứng phó các sự cố phát sinh trong ca trực
- Thời gian làm việc: 3 ca: 7-16h, 14h-22h, 22h-7h
Mỗi tuần 6 ngày, nghỉ 1 ngày
- Địa điểm làm việc: Quận 2, Quận 7, Quận 10",,,"- Nam, tuổi từ 25-40
- Đáp ứng làm ca
- Ngoại hình tươm tất, tác phong chuyên nghiệp
- Tốt nghiệp PTTH
- Yêu trẻ, siêng năng, trung thực, giao tiếp tốt
- Ưu tiên ứng viên có kinh nghiệm hoặc bộ đội xuất ngũ"
,Nam,Nhân viên chính thức,1 năm,12 - 15 triệu,Lao động phổ thôngĐiện/Điện tử/Điện lạnh,10,Nhận việc ngay,Lao động phổ thông,Giờ hành chính,TP.HCM,"- Được mua bảo hiểm tai nạn công trình
- Làm ngày chủ nhật nhân hệ số 2
- Tăng ca nhân hệ số 1.5
- Điện - Máy Lạnh : 12 - 15tr","- Thi công hệ thống điện nước tại công trình theo sự phân công của kỹ thuật công ty.
- Công việc linh hoạt",,,"- Có trách nhiệm trong công việc
- Nhiệt tình năng nổ"
,Không yêu cầu,Bán thời gian,Không yêu cầu kinh nghiệm,10 - 12 triệu,Bán hàngLao động phổ thôngPhát triển thị trường,15,Nhận việc ngay,Không yêu cầu,Giờ hành chính,TP.HCM,"- Thu nhập theo hoa hồng sản phẩm
- Thu nhập khoảng 10,000,000 – 12,000,000 đồng, và tăng hơn theo năng lực
- Địa đểm làm việc: Tại địa điểm bán hàng của Yakult gần nơi sinh sống của bạn nhất.
- Thời gian làm việc: Sáng : 08h00 – 11h30, Chiều : 13h30 – 17h00, thời gian linh hoạt
- Chế độ bảo hiểm sức khỏe (hoặc BHYT) sau 3 tháng làm việc .
- Có cơ hội du lịch đến Nhật Bản, Thái Lan…
- Có nhân viên hướng dẫn trong 2 tháng đầu tiên và hỗ trợ trong suốt thời gian làm việc.","- Bán sản phẩm và chăm sóc khách hàng tận nhà trong khu vực được phân công.
- Tư vấn hiệu quả của sữa uống lên men Yakult đến cho khách hàng",,,"- Nữ, từ 20 đến 40 tuổi (Phù hợp với phụ nữ nội trợ)
- Không yêu cầu kỹ năng vì sẽ được công ty huấn luyện
- Siêng năng, chịu khó, yêu thích công việc hoạt động bên ngoài."
