province,district,ward,ward_code
an giang,long xuyên,mỹ long,90106.0
an giang,long xuyên,mỹ bình,90107.0
an giang,long xuyên,mỹ xuyên,90108.0
an giang,long xuyên,mỹ phước,90109.0
an giang,long xuyên,mỹ quý,90110.0
an giang,long xuyên,mỹ hoà hưng,90111.0
an giang,long xuyên,bình đức,90112.0
an giang,long xuyên,bình khánh,90113.0
an giang,long xuyên,mỹ khánh,90114.0
an giang,long xuyên,mỹ hòa,90115.0
an giang,long xuyên,đông xuyên,90116.0
an giang,long xuyên,mỹ thới,90117.0
an giang,long xuyên,mỹ thạnh,90118.0
an giang,chợ mới,kiến an,90207.0
an giang,chợ mới,mỹ hội đông,90208.0
an giang,chợ mới,nhơn mỹ,90209.0
an giang,chợ mới,kiến thành,90210.0
an giang,chợ mới,long điền b,90211.0
an giang,chợ mới,long điền a,90212.0
an giang,chợ mới,tấn mỹ,90214.0
an giang,chợ mới,mỹ hiệp,90215.0
an giang,chợ mới,mỹ an,90216.0
an giang,chợ mới,long kiến,90217.0
an giang,chợ mới,long giang,90218.0
an giang,chợ mới,an thạnh trung,90219.0
an giang,chợ mới,bình phước xuân,90220.0
an giang,chợ mới,hội an,90221.0
an giang,chợ mới,hòa bình,90222.0
an giang,chợ mới,hòa an,90223.0
an giang,phú tân,phú thọ,90307.0
an giang,phú tân,phú an,90308.0
an giang,phú tân,phú thạnh,90309.0
an giang,phú tân,phú lâm,90311.0
an giang,phú tân,long hoà,90312.0
an giang,phú tân,phú long,90313.0
an giang,phú tân,phú hiệp,90314.0
an giang,phú tân,hoà lạc,90315.0
an giang,phú tân,phú thành,90316.0
an giang,phú tân,phú xuân,90317.0
an giang,phú tân,hiệp xương,90318.0
an giang,phú tân,phú bình,90319.0
an giang,phú tân,bình thạnh đông,90320.0
an giang,phú tân,phú hưng,90321.0
an giang,phú tân,tân hòa,90322.0
an giang,phú tân,tân trung,90323.0
an giang,tân châu,long thạnh,90406.0
an giang,tân châu,long hưng,90407.0
an giang,tân châu,long châu,90408.0
an giang,tân châu,vĩnh hòa,90409.0
an giang,tân châu,vĩnh xương,90410.0
an giang,tân châu,phú lộc,90411.0
an giang,tân châu,tân thạnh,90412.0
an giang,tân châu,tân an,90413.0
an giang,tân châu,long an,90414.0
an giang,tân châu,châu phong,90415.0
an giang,tân châu,lê chánh,90416.0
an giang,tân châu,phú vĩnh,90417.0
an giang,tân châu,long phú,90418.0
an giang,tân châu,long sơn,90419.0
an giang,an phú,vĩnh lộc,90457.0
an giang,an phú,phú hữu,90458.0
an giang,an phú,khánh an,90459.0
an giang,an phú,khánh bình,90461.0
an giang,an phú,nhơn hội,90462.0
an giang,an phú,quốc thái,90463.0
